Accession,Symbol.1,BioFraction,Channel,Genotype,Mixture,Subject,Residuals,Symbol
Q9JKY0,Cnot9,0.977514905534603,0.00743182280080561,1.38181450815497e-11,0.00422855097273454,0,0.0108247206780388,Cnot9
Q9JKY5,Hip1r,0.894713794347359,0.00412925972444585,0.00218330752814787,2.21628530216172e-11,0.0474382587378459,0.0515353796400389,Hip1r
Q9JKZ2,Slc5a3,0.845023521315732,0,0.0122902879119837,0.0219902788738322,0.0231909877627409,0.0975049241357107,Slc5a3
Q9JL04,Fmn2,0.971633993876378,0.00159641983265251,0.00398212456473829,0.00207971272186026,6.09859379444249e-10,0.0207077483945118,Fmn2
Q9JL15,Lgals8,0.428286532571939,0.0518420793505553,0.0808534279834992,0,0.0737844368914254,0.365233523202582,Lgals8
Q9JL26,Fmnl1,0.918250636970041,0,0,0,0.0451978667668146,0.036551496263144,Fmnl1
Q9JL56,Gde1,0.904253432973925,0,1.1807452738232e-09,0,0.0546411665756407,0.041105399269689,Gde1
Q9JL62,Gltp,0.895450332944361,0.000335201708892781,0,0.0402166926415477,0,0.0639977727051983,Gltp
Q9JLB0,Mpp6,0.992035790395098,0.000328343022354393,1.07858131290009e-10,0,0.00315005124996809,0.00448581522472143,Mpp6
Q9JLB2,Mpp5,0.824827505802499,0,0.00301093413050579,0.0173859089475322,0,0.154775651119463,Mpp5
Q9JLC4,Sorcs1,0.519214145909421,0,0.026302922543571,0.0748273855285517,0.209904789707171,0.169750756311286,Sorcs1
Q9JLC8,Sacs,0.545925394058554,0.203393902766535,0,0,0.0444897124391984,0.206190990735712,Sacs
Q9JLI6,Scly,0.824898124994164,0,1.32704938254731e-10,0,0.0225326084092688,0.152569266463863,Scly
Q9JLI8,Sart3,0.988774723213738,0,0.00295599502294355,0,0.00192043753560226,0.00634884422771592,Sart3
Q9JLJ1,Selenok,0.838286473983695,0,1.65463636435779e-11,0,0,0.161713525999758,Selenok
Q9JLJ2,Aldh9a1,0.971803560266612,0.00924248095125661,0.000865700921236994,1.27524706172071e-11,0.00199356259466216,0.0160946952534793,Aldh9a1
Q9JLL0,Crim1,0.871668529682958,0,0.00997528017195467,3.24311785232342e-11,0,0.118356190112656,Crim1
Q9JLM4,Zmym3,0.962025167730255,0.0038039750616499,0.000708168871265965,0,0.00548414246080664,0.0279785458760222,Zmym3
Q9JLM8,Dclk1,0.986616346127155,0.00202080242278306,0,0.00326672775804751,0.000129542925177911,0.00796658076683702,Dclk1
