Protein,Symbol,Entrez,Mixture,Genotype,BioFraction,Residuals,R2.fixef,R2.total
P62960,Ybx1,22608,0.00498804820693913,0.0127069873326312,0.959934147427381,0.0223708170330486,0.971591618059669,0.976426567663713
Q8CFE2,Hpf1,72612,0.00110760985075536,0.0126991264754895,0.944804746075966,0.0413885175977892,0.953532638588572,0.954242279027915
P15388,Kcnc1,16502,0.00929027175160047,0.0126777498823248,0.932150489410909,0.0458814889551657,0.939898642590112,0.948662504528149
P59114,Pcif1,228866,0.00157195630561295,0.0126684802211436,0.924738907590075,0.0610206558831681,0.938231205659208,0.939716152157352
Q924A2,Cic,71722,0.0414961159334772,0.0126619114281899,0.871658750762713,0.0741832218756198,0.887418973012016,0.930562145385008
D3YZP9,Ccdc6,76551,0.0613050785987949,0.012657509946813,0.803615104195049,0.122422307259343,0.810885190316124,0.874629607349628
O35386,Phyh,16922,0.0240218050340675,0.0126544660686362,0.879473929393837,0.0838497995034594,0.880240385911514,0.903291469190669
Q00493,Cpe,12876,0.068098715016155,0.012633483269321,0.797830461256868,0.121437340457656,0.798128693870444,0.868849965804255
O08917,Flot1,14251,0.00816241710139653,0.0126129737345854,0.95528598308207,0.023938626081948,0.967151874315832,0.975191726153053
Q9JIF0,Prmt1,15469,1.2379143979331e-11,0.012591866743492,0.941963340811487,0.0454447924326418,0.956209477075546,0.956209477075546
Q99LR1,Abhd12,76192,0.0177329665963908,0.0125908947805468,0.916003135688048,0.0536730029350145,0.921470487610408,0.938609625208911
Q6ZQ93,Usp34,17847,0.0064051949209782,0.0125818653037236,0.91653471530065,0.064478224474648,0.924994866820889,0.930858140699059
P61028,Rab8b,235442,0.00281779458261231,0.0125757091792364,0.928195879706003,0.0564106165321485,0.932887935770618,0.934926229328898
Q9ER35,Fn3k,63828,1.65773312830678e-10,0.0125566970685039,0.956148325337897,0.0312949774278255,0.969503898988196,0.969676118306767
Q6ZPY2,Smg5,229512,4.78635681452899e-09,0.0125519687524765,0.944107396678575,0.0433406297825913,0.95359305234168,0.953593052341681
Q6IMP4,Panx2,406218,0.00122421408820639,0.012532649560075,0.907945315319197,0.0782978210325215,0.912000589580504,0.912344409835088
Q5SSL4,Abr,109934,0.0609479827156674,0.0125313092243513,0.902757728403419,0.0237629796565628,0.912311179579256,0.977134375334245
O88522,Ikbkg,16151,0,0.0125167061015912,0.783052895316354,0.204430398582054,0.809360821750921,0.809360821750921
Q9WTR5,Cdh13,12554,0.0288733600368658,0.0124999261590113,0.900789850212308,0.0578368635918152,0.906658066916903,0.935454072452222
Q9ERL9,Gucy1a1,60596,0.0288945373271573,0.0124993245531187,0.825350191334172,0.133255946785552,0.833681629092283,0.862091985226564
Q8K4G5,Ablim1,226251,0.00434643855185542,0.0124783078458485,0.886928272422592,0.0962469811797039,0.88755934325433,0.890609511495323
Q02105,C1qc,12262,0.0245116246022195,0.0124709578321813,0.941286139105284,0.0217312784603152,0.950890015416587,0.97562956255784
Q9DCS2,Mettl26,68347,0,0.0124533351047,0.948930568958815,0.0386160959364849,0.963950836079748,0.963950836079748
P35436,Grin2a,14811,0,0.0124498457924929,0.963261201946325,0.0242889522611821,0.975073842198656,0.975073842198656
Q5U4C1,Gprasp1,67298,0.00313076532754252,0.0124484813733225,0.970035873156599,0.0143848801425361,0.982562227662785,0.985650211638936
Q6P4T0,Atg2a,329015,0.0935681800739792,0.012434517079904,0.592728827473496,0.30126847537262,0.628338145295946,0.729038755438555
Q80SW1,Ahcyl1,229709,0,0.0124131122681138,0.963289637568694,0.0242972501631924,0.984210022835658,0.984210022835658
Q8CD26,Slc35e1,270066,0.00259636722005075,0.0124092323654546,0.813755789564241,0.171238610850254,0.843163763488533,0.846398486565486
P06800,Ptprc,19264,0.0106754676255395,0.0124082559561935,0.895849916275202,0.081066360143065,0.902933566282039,0.912891318282511
Q99KC8,Vwa5a,67776,0.0774127433954934,0.012408004002802,0.788425550530545,0.12175370207116,0.782154275700135,0.862846217556521
Q9R1K5,Fzr1,56371,0.0191619514797698,0.0123971136055209,0.784179044970688,0.184261889944021,0.810833181783476,0.830325158506322
Q3TTA7,Cblb,208650,0.195046060348165,0.0123961998333455,0.340924895316507,0.451632844501982,0.350769241588866,0.561022652575247
Q9D3D0,Ttpal,76080,0.0893219842681905,0.0123881950877116,0.660224719739186,0.238065100904912,0.652311232679464,0.742756837247877
D3Z4S3,Ptrhd1,69709,0.116185952530383,0.0123726282141119,0.449992577940719,0.421448841314786,0.484469639934344,0.608359302108512
P33175,Kif5a,16572,0.00991673994765437,0.0123636156024911,0.892497239917758,0.0852224045320965,0.897772436885714,0.906796521438752
Q9JIY0,Plekho1,67220,0.0500368377053565,0.0123622492004736,0.785078944516402,0.152521968577768,0.803950524944815,0.855923896621371
Q9R1Z7,Pts,19286,0.0231052111377467,0.0123381546016835,0.731787030659987,0.232769603600583,0.728172261006608,0.748469949415537
P46978,Stt3a,16430,0.0111022232564935,0.0123351631276024,0.952407708278347,0.0241549053375568,0.96592285812033,0.977092895239016
Q61161,Map4k2,26412,0.0366222361606418,0.012318163649727,0.904546223895976,0.0465133762936552,0.911747057398126,0.949056508429238
Q9CQB5,Cisd2,67006,0.00655743502782948,0.0123040929292373,0.943411364697393,0.0377271073455399,0.953280255047535,0.959526093771652
Q91W92,Cdc42ep1,104445,0.0464096510980218,0.0123022811558433,0.857330399488897,0.0839576682572381,0.876772566623859,0.925582818236018
P35279,Rab6a,19346,2.03344211949941e-11,0.0122996151211509,0.953103760467265,0.0345966243912499,0.963293645188934,0.963293645188934
Q9WTK7,Stk11,20869,1.39984137186293e-16,0.0122838740692703,0.711623836579215,0.276092289351515,0.737143975684501,0.737143975684501
Q9DBG6,Rpn2,20014,2.41299743510977e-10,0.0122678677674853,0.939266083426983,0.0484660485642321,0.952772335842024,0.952772335842024
