protein,Symbol,Entrez,contrast,log2FC,percentControl,Pvalue,Tstatistic,SE,DF,R2m,R2c,FDR
Q9CYN9,Atp6ap2,70495,Mutant-Control,0.109820221581766,1.07909375911908,0.00942309110404112,2.75232875951597,0.0399008371373047,34.000035643529,0.0191886927090209,0.896144708646489,0.0853135093804351
Q60760,Grb10,14783,Mutant-Control,-0.100537490727431,0.932685445340349,0.0094458508830814,-2.75135887401113,0.0365410312980584,34.0000572053244,0.00534189127577967,0.971067602812855,0.085362362528115
Q6P4T1,Snx19,102607,Mutant-Control,0.101846024060071,1.07314574559427,0.00945316896003124,2.75104755546129,0.0370208155282122,34.0000493090837,0.0155615333134059,0.915697578803437,0.085362362528115
Q791T5,Mtch1,56462,Mutant-Control,-0.118216638474883,0.92132582736125,0.0094826128228699,-2.74979701522365,0.0429910418188698,34.0000655525983,0.00638708261605188,0.965367398316541,0.0855166009071592
Q5FW52,Mlip,69642,Mutant-Control,0.204400475662053,1.15220743758345,0.00950151844153376,2.86833641723138,0.0712609840443148,20.0000143602602,0.101721510226432,0.666176896962031,0.0855755248178243
P20917,Mag,17136,Mutant-Control,-0.193033773899318,0.874764286186541,0.00954418635349042,-2.74719395243303,0.0702657974797736,34.0000072554777,0.0140055610380576,0.92391382991952,0.0858480325189769
Q8CBH5,Mfsd6,98682,Mutant-Control,-0.141355012792246,0.906667192338773,0.00963381272046276,-2.743432249849,0.0515248782979885,34.000025627786,0.0387134202794377,0.789109546902003,0.0865416656979752
P63328,Ppp3ca,19055,Mutant-Control,-0.0594532344201895,0.959627738793379,0.00968148055564114,-2.74144525888641,0.0216868216600246,33.9999473149447,0.00379846123017099,0.979277965228497,0.0868570700432812
Q8R1Q8,Dync1li1,235661,Mutant-Control,0.084928203879314,1.06063495726065,0.00975500328379569,2.73839695030693,0.0310138396370164,34.0001116653375,0.0085098782638884,0.953471998460027,0.0873694270140719
Q9JJI8,Rpl38,67671,Mutant-Control,0.124615465939617,1.09021710888505,0.00976385240449292,2.73803170614466,0.0455127914187247,34.000088611673,0.00553690891417778,0.969718715744268,0.0873694270140719
A2A8L5,Ptprf,19268,Mutant-Control,0.149058675058374,1.10884573994266,0.00979554856385949,2.73672589906118,0.0544660592825565,34.0000234003289,0.025518042174652,0.860308943088321,0.0874439466431565
Q811B1,Xylt1,233781,Mutant-Control,0.196134762424774,1.14562490602747,0.00979746402319593,2.7366471458122,0.0716697301385427,34.0000125139367,0.119991114919993,0.343105937609504,0.0874439466431565
Q2VLH6,Cd163,93671,Mutant-Control,0.317998548407992,1.24659993998686,0.0098301695539391,2.7353038329924,0.116257120899108,34.0000042256511,0.0515037969756074,0.717764294033141,0.0876227871193257
Q9JKN6,Nova1,664883,Mutant-Control,-0.0789207892425008,0.946765611704122,0.00992451766650029,-2.73146263541307,0.0288932340568393,33.9977068205068,0.00102734818796842,0.9943543885151,0.088349921105769
Q9DBX3,Susd2,71733,Mutant-Control,-0.135348884853053,0.910449634250875,0.00994171118010296,-2.73075328334057,0.04956466982161,34.0000327374047,0.0151687083045137,0.916599716368245,0.0883623000409125
Q60829,Ppp1r1b,19049,Mutant-Control,0.15910402767598,1.11659347271628,0.00995145752954616,2.73035795819236,0.0582722229510576,34.0000276104554,0.0190625167375642,0.895160505430764,0.0883623000409125
Q6ZPY2,Smg5,229512,Mutant-Control,0.0617334040811493,1.0437190405403,0.0099872757744328,2.72890748030806,0.0226220216429545,34.0001626337886,0.0068628430829811,0.962215793846097,0.0884918705144328
Q4QQM5,Miga1,215708,Mutant-Control,-0.157908244438004,0.896323704042005,0.00999163667366951,-2.72873206295145,0.0578687246659194,33.9999996801928,0.0197334027815837,0.891341413969554,0.0884918705144328
Q91XE4,Acy3,71670,Mutant-Control,-0.146730028817374,0.903295527816217,0.0100143935433235,-2.72781369899835,0.0537903409134037,34.0000211810761,0.068997443016317,0.619821597849071,0.0885800001779647
Q3UTQ8,Cdkl5,382253,Mutant-Control,-0.0450607963329945,0.969248971140796,0.0100458556440327,-2.72656880297495,0.0165265575854271,33.9954818806298,0.000767429212044031,0.995767575100415,0.0887419788992508
Q7TPW1,Nexn,68810,Mutant-Control,-0.206526194657998,0.866621422735823,0.0100583651087195,-2.72604497622054,0.0757603768314679,34.0000022489557,0.0164234900724449,0.909388509293782,0.0887419788992508
Q8C9H6,Strip2,320609,Mutant-Control,0.0830045029499873,1.05922164072881,0.0100839788410494,2.72501810302788,0.0304601656986269,33.9999682078026,0.00692898805166983,0.961742649867412,0.0888546262975016
A2AJ15,Man1b1,227619,Mutant-Control,-0.153781435830057,0.898891295754982,0.0101403348875711,-2.83906324429458,0.0541662592896083,20.0000181715087,0.0480397802153418,0.839078288979956,0.0892370702835027
Q99K85,Psat1,107272,Mutant-Control,0.0648521105137458,1.0459777119787,0.0101531840845911,2.72225532718229,0.0238229345595117,33.9999544721658,0.00583557042028049,0.967714355659333,0.0892370702835027
Q7TME0,Plppr4,229791,Mutant-Control,-0.0913101667842326,0.938669919818161,0.010332237221372,-2.71518572884671,0.0336294367689599,34.0003375637781,0.00368546285515138,0.979503636693325,0.0906955391627289
Q91WD9,Scgn,214189,Mutant-Control,-0.162692628067758,0.893356165172476,0.0104306049066467,-2.82634112955503,0.0575629835926322,20.0000156047948,0.0350812143248142,0.881426067066662,0.0913577312825545
Q9D7V9,Naaa,67111,Mutant-Control,0.133082463802999,1.09663426992063,0.0104340910384875,2.71121731921071,0.0490858710808699,34.0000243939637,0.0246162882304382,0.862697714990208,0.0913577312825545
Q61548,Snap91,20616,Mutant-Control,0.0825928092341766,1.05891941976971,0.0104551318411984,2.71040140958016,0.0304725377363828,34.0000907941244,0.0128418881085723,0.928328662480122,0.0914262287554608
Q8C052,Map1s,270058,Mutant-Control,0.0480931635523287,1.03389749911265,0.01051734618919,2.70800550681806,0.0177596254628148,33.9986223138282,0.000993577436824571,0.994444968948173,0.091773475506605
Q6PGB6,Naa50,72117,Mutant-Control,0.0637837189893693,1.04520339723872,0.0105282633598076,2.70757825844562,0.0235574793786336,34.0001293086136,0.00558207394741897,0.968781113705843,0.091773475506605
P41778,Pbx1,18514,Mutant-Control,0.145145966285562,1.10584253251641,0.010534645012613,2.70733327749408,0.0536121531442592,34.0000226496395,0.056948409996036,0.681446767208664,0.091773475506605
Q9EP53,Tsc1,64930,Mutant-Control,0.051715303445107,1.03649654211851,0.0105711218193773,2.7059320952126,0.0191118260271952,34.0001776629516,0.00536130387523315,0.969979322268368,0.0919754083328715
Q9DCR2,Ap3s1,11777,Mutant-Control,0.0862681067141438,1.06162047942259,0.0106362586032116,2.70344291696155,0.0319104598705942,34.0000671127065,0.0249564616366433,0.859998573959514,0.0924110196920237
Q0VBL3,Rbm15,229700,Mutant-Control,0.173262524891734,1.1276055820483,0.0106479084421777,2.70299921929717,0.0641001017147113,34.0000465301296,0.00523514453438135,0.970622103761551,0.0924110196920237
Q69ZL1,Fgd6,13998,Mutant-Control,-0.142670933306594,0.905840574127943,0.0106790909355153,-2.70181361059447,0.0528056164744845,34.0000351363737,0.0227955942705363,0.871966385854182,0.0925655037606007
Q8BGB5,Limd2,67803,Mutant-Control,0.0825715437797685,1.05890381131744,0.0107544142541334,2.69896260630115,0.030593808001264,34.000072162009,0.0362526801939531,0.795952987020373,0.0931017314090619
