protein,symbol,entrez,contrast,log2FC,percentControl,Pvalue,FDR,Padjust,Tstatistic,SE,DF,isSingular
Q80ZI6,Lrsam1,227738,Mutant-Control,0.00625633744992982,1.00434597915874,0.853705249951816,0.953224533855062,1,0.185800534315833,0.0336723329293282,34.0000557185393,FALSE
Q80ZJ1,Rap2a,76108,Mutant-Control,0.096238469015189,1.06898267316453,0.00832260849256206,0.0834502301192142,1,2.80203946802285,0.0343458649007167,33.999812414113,FALSE
Q80ZJ6,Zer1,227693,Mutant-Control,0.0182861133097907,1.01275563575009,0.480582440444728,0.770572205477393,1,0.713210550118116,0.0256391514494034,34.0000826348528,FALSE
Q80ZJ7,Snx32,225861,Mutant-Control,-0.0321058833216519,0.977991693337049,0.580374803788521,0.830367492872365,1,-0.55818601699258,0.057518250805768,34.0000337563078,FALSE
Q80ZK0,Mrps10,64657,Mutant-Control,-0.0950163978757939,0.936261605692242,0.741810716059768,0.905510628213712,1,-0.334061375906724,0.284427966621092,20.0000002255454,FALSE
Q80ZK9,Wdtc1,230796,Mutant-Control,-0.0251605431231452,0.982711236341131,0.344984783011219,0.661910082214893,1,-0.95768015891885,0.0262723863377827,34.0000649507877,FALSE
Q80ZM7,Gtf2a2,235459,Mutant-Control,-0.029608886837555,0.979685853430636,0.6384392877464,0.860370901470597,1,-0.474128262026631,0.0624491075705838,34.0000170708898,FALSE
Q80ZS3,Mrps26,99045,Mutant-Control,-0.0565694551189679,0.96154784123013,0.26531947063354,0.587135463597267,1,-1.1325689032818,0.0499479148288896,34.0000300017251,FALSE
Q80ZU0,Arl5a,75423,Mutant-Control,0.0499921885524923,1.03525931843241,0.116314634733932,0.394456323654123,1,1.61150880371802,0.0310219766948539,34.0000648836378,FALSE
Q80ZV0,Rnaseh2b,67153,Mutant-Control,-0.0434419431485233,0.970337179250503,0.65065840585833,0.866804563249789,1,-0.459744074041165,0.0944915782528033,20.0000050111461,FALSE
Q80ZW2,Them6,223626,Mutant-Control,-0.029921836447417,0.979473362885988,0.44772736665007,0.747201216258926,1,-0.768104466183014,0.0389554256807141,34.0000302629695,FALSE
Q80ZX8,Spag1,26942,Mutant-Control,-0.119167616321397,0.920718719329712,0.015765506867897,0.121587330894913,1,-2.54153339618846,0.046888078079207,34.0000306633348,FALSE
Q810A3,Ttc9c,70387,Mutant-Control,0.0454582239802077,1.03201091111068,0.600497363227091,0.841383540349592,1,0.528628385844665,0.085992779043775,34.0000082949135,FALSE
Q810A7,Ddx42,72047,Mutant-Control,0.0228002776355982,1.01592949103358,0.387791414965185,0.700448393378999,1,0.874854134502922,0.0260618047470885,34.0011917125253,FALSE
