protein,contrast,log2FC,percentControl,Pvalue,Tstatistic,SE,DF,isSingular
B2B9E1,Mutant-Control,0.0598963637762164,1.04239087783988,0.36082813097187,0.92628197657923,0.0646632076308064,34.0000195331375,FALSE
B2RPU2,Mutant-Control,-0.178472613071246,0.883638012298815,7.6010409119841e-07,-6.04184892898895,0.0295394034456786,33.9992509128208,FALSE
B2RQC6,Mutant-Control,0.0139863781643967,1.00974176363362,0.376744695098605,0.895635700074934,0.0156161463452457,34.0004978130503,FALSE
B2RQR8,Mutant-Control,-0.179046150235099,0.883286795651836,0.0012443047390524,-3.52170440142694,0.0508407662387996,34.0000268160974,FALSE
B2RR83,Mutant-Control,-0.0277327292335059,0.980960717955393,0.161055210991543,-1.43276849443137,0.0193560434510478,34.0002700019384,FALSE
B2RRE7,Mutant-Control,-0.00708790493886813,0.995099087530106,0.817359415573577,-0.232739079921768,0.0304542964647392,34.0000098045986,FALSE
B2RS91,Mutant-Control,-0.0928757988044149,0.937651815154016,0.599434558044413,-0.533695051118214,0.174024095988559,20.0000016720188,FALSE
B2RSH2,Mutant-Control,-0.00628060072038927,0.995656081544248,0.922873843206199,-0.0975355251941782,0.0643929553656021,34.00001970755,FALSE
B2RUJ5,Mutant-Control,-0.0412964267329725,0.971781298134992,0.433599006987342,-0.792439794781002,0.0521130147740563,34.0000200341562,FALSE
B2RUR8,Mutant-Control,-0.00839251464845692,0.994199639558004,0.832074783339866,-0.213677490670092,0.0392765500106634,34.0000396564365,FALSE
B2RVL6,Mutant-Control,0.0455126857373669,1.03204987027177,0.225050111058916,1.23567288187644,0.0368323092663919,33.9999048622645,FALSE
B2RWJ3,Mutant-Control,-0.0742236870055706,0.949853098617506,0.591027842420407,-0.546114365836103,0.135912350322325,20.0000026008199,FALSE
B2RWS6,Mutant-Control,-0.179999523209169,0.88270328801188,0.135612171851057,-1.72326017971425,0.104452899990422,5.99999879702993,FALSE
B2RX12,Mutant-Control,0.0603676581680386,1.04273145794397,0.445181792510106,0.778857689188995,0.0775079440133639,20.0000165625264,FALSE
B2RX14,Mutant-Control,-0.074954050183293,0.949372357965205,0.249402878354927,-1.17185208906673,0.0639620399900359,33.999929664523,FALSE
B2RXA1,Mutant-Control,0.0370611622463501,1.02602164202665,0.340758337962981,0.966217239219952,0.0383569664688144,34.0000672269356,FALSE
B2RXC1,Mutant-Control,-0.0167650394715428,0.988446619011089,0.406092564379054,-0.841237892306135,0.0199290113116325,33.9999714394307,FALSE
B2RXR6,Mutant-Control,0.0543824598484397,1.0384145187488,0.472102830680644,0.727164452775623,0.0747870163906654,34.0000123688848,FALSE
B2RXS4,Mutant-Control,0.0493366377330355,1.03478901049604,0.0230105689111956,2.38099673308223,0.0207210018592376,34.0000562271374,FALSE
B2RXV4,Mutant-Control,-0.00432008813685147,0.997010022002515,0.956954714424114,-0.056268742229639,0.0767759854880123,6.00000063003595,FALSE
B2RY04,Mutant-Control,-0.0327711465770717,0.977540820537762,0.455381517469467,-0.755111224549356,0.0433990987177144,34.0000338576129,FALSE
B2RY56,Mutant-Control,-0.0106063516533919,0.992675195359502,0.813597052404111,-0.237626375236983,0.044634572415685,33.9998416762275,FALSE
B5TVM2,Mutant-Control,-0.0254337076848401,0.982525184220402,0.608490617610116,-0.51701829414218,0.0491930517217749,34.0000148450682,FALSE
B7ZMP1,Mutant-Control,-0.0589624719545148,0.959954231484147,0.613555257570794,-0.513023365182222,0.114931357821435,20.0000031778547,FALSE
B9EHT4,Mutant-Control,0.0405800548290713,1.02852727667626,0.254073409859018,1.160140737731,0.0349785620910423,34.0000528919529,FALSE
B9EJ80,Mutant-Control,0.0482176832827399,1.03398673917393,0.113568769069534,1.62420260930229,0.0296869879450894,34.000013629771,FALSE
B9EJ86,Mutant-Control,0.0486211415272475,1.03427594014873,0.160480691655124,1.43479510694081,0.0338871670889058,34.0000507294186,FALSE
B9EJA2,Mutant-Control,-0.0444562405994775,0.969655216255965,0.0359989701301413,-2.18346349448086,0.0203604231130264,34.0007676228777,FALSE
B9EJI9,Mutant-Control,0.000903318847087498,1.00062632897414,0.985065699758895,0.0188566347695018,0.0479045629365692,34.0000280292043,FALSE
B9EKI3,Mutant-Control,-0.175355903235869,0.885549033118969,0.0181213494092395,-2.48301779550192,0.0706220887959535,34.0000026178005,FALSE
B9EKR1,Mutant-Control,-0.0161722117719636,0.988852871843055,0.391899946747794,-0.867221876818601,0.0186482977473899,34.0001980949589,FALSE
C0HK79,Mutant-Control,0.105327453667494,1.07573852698154,0.0617108782090059,1.93212927159872,0.0545136680116345,34.000038630987,FALSE
